objectid,filename,title,creator,mine,depth,date,description,subject,location,latitude,longitude,source,format original,format,type,identifier,language,rights,rightsstatement
watkins10,cantwell.jpg,St. Lawrence Mine 800 ft. level West [no. 1180],"Watkins, Carleton E.",St. Lawrence Mine,800,1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1180,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins11,caughie.jpg,Anaconda Mine 1000 ft. level East [no. 1164],"Watkins, Carleton E.",Anaconda Mine,1000,1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1164,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins12,cavallo.PNG,St. Lawrence Mine 800 ft. level West [no. 1182],"Watkins, Carleton E.",St. Lawrence Mine,800,1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1182,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins13,chan-tin.png,St. Lawrence Mine 700 ft. level East [no. 1183],"Watkins, Carleton E.",St. Lawrence Mine,700,1890,St. Lawrence 700 level East Ore 36 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1183,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins14,chee.jpg,St. Lawrence Mine 700 ft. level East [no. 1184],"Watkins, Carleton E.",St. Lawrence Mine,700,1890,St. Lawrence 700 level East Ore 36 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1184,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins15,conley.PNG,St. Lawrence Mine 800 ft. level East [no. 1185],"Watkins, Carleton E.",St. Lawrence Mine,800,1890,St. Lawrence 800 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1185,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins16,cornelius.jpg,St. Lawrence Mine Pump Station 400' level [no. 1186],"Watkins, Carleton E.",St. Lawrence Mine,400,1890,St. Lawrence Pump Station 400 level,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1186,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins17,davidson.jpg,St. Lawrence Mine 600 ft. level East [no. 1187],"Watkins, Carleton E.",St. Lawrence Mine,600,1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1187,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins18,demo_001.jpg,St. Lawrence Mine 600 ft. level East [no. 1188],"Watkins, Carleton E.",St. Lawrence Mine,600,1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1188,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins19,demo_002.pdf,St. Lawrence Mine 600 ft. level East [no. 1189],"Watkins, Carleton E.",St. Lawrence Mine,600,1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1189,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins20,demo_003.mp3,St. Lawrence Mine 600 ft. level East [no. 1190],"Watkins, Carleton E.",St. Lawrence Mine,600,1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1190,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins21,demo_004.jpg,St. Lawrence Mine 600 ft. level East [no. 1191],"Watkins, Carleton E.",St. Lawrence Mine,600,1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1191,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins22,dentato.jpg,Anaconda Mine 1000 ft. level East [no. 1165],"Watkins, Carleton E.",Anaconda Mine,1000,1890,Anaconda Mine 1000 level East. Wealth of ore 45 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1165,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins23,dentato.PNG,St. Lawrence Mine 600 ft. level East [no. 1192],"Watkins, Carleton E.",St. Lawrence Mine,600,1890,St. Lawrence 600 level East Ore 35 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1192,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins24,drenten.PNG,High Ore Mine 400 ft. level [no. 1193],"Watkins, Carleton E.",High Ore Mine,400,1890,High ore 400 ft. level Housing Station,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1193,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins25,evers.jpg,High Ore Mine 600 ft. level [no. 1194],"Watkins, Carleton E.",High Ore Mine,600,1890,High ore 600 level Pump Station,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1194,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins26,fennell.png,High Ore Mine 500 ft. level [no. 1195],"Watkins, Carleton E.",High Ore Mine,500,1890,High ore 500 ft. level Housing Station,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1195,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins27,forestal.jpg,High Ore Mine 400 ft. level West [no. 1196],"Watkins, Carleton E.",High Ore Mine,400,1890,High ore 400 ft. level West Showing bulkheading in 1st floor and miner ascending to 2nd floor with hose for drilling machine,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1196,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins28,garbarski.PNG,High Ore Mine 300 ft. level East [no. 1197],"Watkins, Carleton E.",High Ore Mine,300,1890,High ore 300 ft. level East Showing men and drilling machine on fourth floor drilling air on breast,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1197,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins29,greenberg.jpg,High Ore Mine 200 ft. level West [no. 1198],"Watkins, Carleton E.",High Ore Mine,200,1890,High ore 200 ft. level West Showing face of drift. Timber and lagging,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1198,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins30,griffin.jpg,High Ore Mine 600 ft. level East [no. 1199],"Watkins, Carleton E.",High Ore Mine,600,1890,High ore 600 level East Showing ore in breasts,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1199,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins31,haker.jpg,High Ore Mine 600 ft. level West [no. 1200],"Watkins, Carleton E.",High Ore Mine,600,1890,High ore 600 level West Showing miner wheeling ore to chutes Ore 10 ft,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1200,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins32,hallett.jpg,High Ore Mine 300 ft. level East [no. 1201],"Watkins, Carleton E.",High Ore Mine,300,1890,High ore 300 level East Showing drilling machine and bar erected for drilling ore breast,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",High Ore Mine; Butte; Silver Bow County; Montana; United States,46.02388889,-112.5197222,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1201,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
